id,Credit_Score,Duration,Amount,InstallmentRatePercentage,ResidenceDuration,Age,NumberExistingCredits,NumberPeopleMaintenance,Telephone,ForeignWorker,CheckingAccountStatus.lt.0,CheckingAccountStatus.0.to.200,CheckingAccountStatus.gt.200,CreditHistory.ThisBank.AllPaid,CreditHistory.PaidDuly,CreditHistory.Delay,CreditHistory.Critical
115,Bad,18,2462,2,2,22,1,1,1,1,1,0,0,0,1,0,0
116,Good,48,3566,4,2,30,1,1,1,1,0,1,0,1,0,0,0
117,Good,6,860,1,4,39,2,1,0,1,1,0,0,0,0,0,1
118,Good,12,682,4,3,51,2,1,0,1,0,0,0,0,0,0,1
119,Good,36,5371,3,2,28,2,1,1,1,1,0,0,0,0,0,1
120,Good,18,1582,4,4,46,2,1,1,1,0,0,0,0,0,0,1
121,Good,6,1346,2,4,42,1,2,0,1,0,0,0,0,1,0,0
122,Good,10,1924,1,4,38,1,1,0,0,0,0,0,0,1,0,0
123,Good,36,5848,4,1,24,1,1,1,1,0,0,1,0,1,0,0
124,Bad,12,1282,2,4,20,1,1,1,1,1,0,0,0,1,0,0
125,Good,9,1288,3,4,48,2,2,1,0,1,0,0,0,0,0,1
126,Good,24,3512,2,3,38,2,1,0,1,0,1,0,0,1,0,0
127,Good,6,1898,1,2,34,2,2,1,1,0,0,0,0,0,0,1
128,Good,18,1055,4,1,30,2,1,1,1,0,0,0,0,0,0,1
129,Good,15,1262,4,3,36,2,1,0,1,0,0,0,0,1,0,0
130,Good,10,7308,2,4,70,1,1,0,1,0,1,0,0,1,0,0
131,Good,36,909,4,4,36,1,1,1,1,0,0,0,0,1,0,0
132,Bad,18,1131,4,2,33,1,1,1,1,1,0,0,0,1,0,0
133,Good,11,1577,4,1,20,1,1,1,1,0,1,0,0,1,0,0
134,Good,24,3972,2,4,25,1,1,0,1,0,0,0,0,1,0,0
135,Good,12,763,4,1,26,1,1,0,1,0,0,0,0,1,0,0
136,Bad,24,2064,3,2,34,1,1,0,1,0,1,0,0,0,1,0
137,Bad,21,3414,2,1,26,2,1,1,1,1,0,0,0,0,1,0
138,Bad,30,7485,4,1,53,1,1,0,1,0,0,0,1,0,0,0
139,Good,12,2577,2,1,42,1,1,1,1,1,0,0,0,1,0,0
140,Good,6,338,4,4,52,2,1,1,1,1,0,0,0,0,0,1
141,Good,12,1963,4,2,31,2,2,0,1,0,0,0,0,1,0,0
142,Good,21,571,4,4,65,2,1,1,1,1,0,0,0,0,0,1
143,Bad,21,1647,4,2,40,2,2,1,1,1,0,0,1,0,0,0
144,Good,24,3777,4,4,50,1,1,0,1,0,0,0,0,0,0,1
145,Bad,18,884,4,4,36,1,2,0,1,0,1,0,0,0,0,1
146,Good,15,1360,4,2,31,2,1,1,1,0,0,0,0,0,0,1
147,Bad,9,5129,2,4,74,1,2,0,1,0,1,0,1,0,0,0
148,Good,16,1175,2,3,68,3,1,0,1,0,1,0,0,0,0,1
149,Bad,12,674,4,1,20,1,1,1,1,1,0,0,0,1,0,0
150,Good,18,3244,1,4,33,2,1,0,1,0,1,0,0,0,0,0
151,Bad,24,4591,2,3,54,3,1,0,1,0,0,0,0,1,0,0
152,Bad,48,3844,4,4,34,1,2,1,1,0,1,0,0,0,0,0
153,Bad,27,3915,4,2,36,1,2,0,1,0,1,0,0,1,0,0
154,Good,6,2108,2,2,29,1,1,1,1,0,0,0,0,1,0,0
155,Bad,45,3031,4,4,21,1,1,1,1,0,1,0,0,1,0,0
156,Bad,9,1501,2,3,34,2,1,0,1,0,1,0,0,0,0,1
157,Good,6,1382,1,1,28,2,1,0,1,0,0,0,0,0,0,1
158,Bad,12,951,4,4,27,4,1,1,1,0,1,0,0,1,0,0
159,Good,24,2760,4,4,36,1,1,0,1,0,1,0,0,1,0,0
160,Good,9,936,4,2,52,2,1,0,1,0,0,0,0,0,0,1
161,Good,12,1168,4,3,27,1,1,1,1,1,0,0,0,1,0,0
162,Good,27,5117,3,4,26,2,1,1,1,0,0,0,0,0,1,0
163,Bad,12,902,4,4,21,1,1,1,1,1,0,0,0,1,0,0
164,Good,12,1495,4,1,38,2,2,1,1,0,0,0,0,0,0,1
165,Good,30,10623,3,4,38,3,2,0,1,1,0,0,0,0,0,1
166,Good,12,1935,4,4,43,3,1,0,1,0,0,0,0,0,0,1
167,Good,12,1424,4,3,26,1,1,1,1,0,1,0,0,0,0,1
168,Good,12,1413,3,2,55,1,1,1,0,0,0,0,0,1,0,0
169,Good,9,3074,1,2,33,2,2,1,1,0,0,0,0,0,0,1
170,Good,36,3835,2,4,45,1,1,0,1,0,0,0,0,1,0,0
171,Bad,27,5293,2,4,50,2,1,0,1,1,0,0,0,0,0,0
172,Bad,30,1908,4,4,66,1,1,0,1,0,0,1,0,0,1,0
173,Good,6,932,1,3,39,2,1,1,1,0,1,0,0,0,0,1
174,Good,24,3021,2,2,24,1,1,1,1,1,0,0,0,1,0,0
175,Good,10,1364,2,4,64,1,1,0,1,0,0,0,0,1,0,0
176,Good,12,625,4,1,26,1,1,1,1,0,1,0,0,1,0,0
177,Good,12,1200,4,4,23,1,1,0,1,1,0,0,0,1,0,0
178,Good,12,707,4,2,30,2,1,1,1,0,0,0,0,1,0,0
179,Good,24,2978,4,4,32,2,2,0,1,0,0,0,0,0,1,0
180,Good,15,4657,3,2,30,1,1,0,1,0,0,0,0,1,0,0
181,Good,36,2613,4,2,27,2,1,1,1,0,0,0,0,0,0,0
182,Bad,48,10961,1,2,27,2,1,0,1,0,1,0,0,1,0,0
183,Bad,12,7865,4,4,53,1,1,0,1,1,0,0,0,1,0,0
184,Bad,9,1478,4,2,22,1,1,1,1,0,0,0,0,1,0,0
185,Good,24,3149,4,1,22,1,1,1,1,1,0,0,0,1,0,0
186,Bad,36,4210,4,2,26,1,1,1,1,0,0,1,0,1,0,0
187,Good,9,2507,2,4,51,1,1,1,1,0,0,0,0,1,0,0
188,Good,12,2141,3,1,35,1,1,1,1,0,0,0,0,1,0,0
189,Good,18,866,4,2,25,1,1,1,1,0,1,0,0,1,0,0
190,Good,4,1544,2,1,42,3,2,1,1,0,0,0,0,0,0,1
191,Bad,24,1823,4,2,30,1,2,1,1,1,0,0,0,1,0,0
192,Good,30,2522,1,3,39,1,2,1,1,1,0,0,0,1,0,0
193,Bad,24,915,4,2,29,1,1,1,1,1,0,0,0,1,0,0
194,Good,6,1595,3,2,51,1,2,1,1,0,0,0,0,1,0,0
195,Bad,48,4605,3,4,24,2,2,1,1,1,0,0,0,0,0,0
196,Good,12,1185,3,2,27,2,1,1,1,0,0,0,0,0,0,1
197,Good,12,3447,4,3,35,1,2,1,1,0,0,0,1,0,0,0
198,Good,24,1258,4,1,25,1,1,0,1,0,0,0,0,1,0,0
199,Good,12,717,4,4,52,3,1,1,1,0,0,0,0,0,0,1
200,Good,6,1204,4,1,35,1,1,1,0,0,0,0,0,0,0,0
201,Good,24,1925,2,2,26,1,1,1,1,0,0,1,0,1,0,0
202,Bad,18,433,3,4,22,1,1,1,1,0,0,0,0,1,0,0
203,Good,6,666,3,4,39,2,1,0,1,1,0,0,0,0,0,1
204,Good,12,2251,1,2,46,1,1,1,1,0,0,1,0,1,0,0
205,Bad,30,2150,4,2,24,1,1,1,1,0,1,0,0,1,0,0
206,Good,9,2030,2,1,24,1,1,0,1,0,1,0,0,1,0,0
207,Bad,12,2149,4,1,29,1,1,1,1,1,0,0,1,0,0,0
208,Good,15,3812,1,4,23,1,1,0,1,0,0,0,0,1,0,0
209,Good,11,1154,4,4,57,3,1,1,1,0,0,0,0,0,0,1
210,Good,24,1603,4,4,55,1,1,1,1,1,0,0,0,1,0,0
211,Good,18,5302,2,4,36,3,1,0,1,1,0,0,0,0,0,1
212,Good,10,1231,3,4,32,2,2,1,0,0,0,0,0,0,0,1
213,Bad,15,802,4,3,37,1,2,1,1,0,1,0,0,1,0,0
214,Good,36,6304,4,4,36,2,1,1,1,0,0,0,0,0,0,1
215,Bad,14,8978,1,4,45,1,1,0,0,1,0,0,0,1,0,0
216,Good,24,999,4,2,25,2,1,1,1,0,0,0,0,1,0,0
217,Good,18,2662,4,3,32,1,1,1,0,0,0,0,0,1,0,0
218,Good,12,1402,3,4,37,1,1,0,1,0,0,0,0,0,0,1
219,Good,48,12169,4,4,36,1,1,0,1,0,1,0,1,0,0,0
220,Bad,48,3060,4,4,28,2,1,1,1,0,1,0,0,1,0,0
221,Bad,30,11998,1,1,34,1,1,0,1,1,0,0,0,1,0,0
222,Good,18,2404,2,2,26,2,1,1,1,0,0,0,0,0,0,1
223,Good,12,1262,2,4,49,1,1,0,1,1,0,0,0,1,0,0
224,Bad,6,4611,1,4,32,1,1,1,1,0,0,0,0,1,0,0
225,Good,24,1901,4,4,29,1,1,0,1,0,0,0,0,1,0,0
226,Good,15,3368,3,4,23,2,1,0,1,0,0,0,0,0,0,1
227,Good,18,1445,4,4,49,1,1,1,1,0,0,1,1,0,0,0
228,Good,15,1520,4,4,63,1,1,1,1,0,0,0,0,0,0,1
229,Good,24,3878,4,2,37,1,1,0,1,0,1,0,0,0,0,1
230,Good,47,10722,1,1,35,1,1,0,1,1,0,0,0,1,0,0
231,Good,48,7582,2,4,31,1,1,0,1,0,1,0,0,0,1,0
232,Bad,24,1024,4,4,48,1,1,1,1,1,0,0,0,0,1,0
233,Good,12,1076,2,2,26,1,1,0,0,0,0,0,0,1,0,0
234,Bad,36,9398,1,4,28,1,1,0,1,0,1,0,0,1,0,0
235,Good,24,6419,2,4,44,2,2,0,1,1,0,0,0,0,0,1
236,Good,42,4796,4,4,56,1,1,1,1,0,0,1,0,0,0,1
237,Bad,48,9960,1,2,26,1,1,0,1,0,1,0,0,1,0,0
238,Good,12,4675,1,4,20,1,1,1,1,0,0,0,0,1,0,0
239,Good,10,1287,4,2,45,1,1,1,0,0,0,0,0,1,0,0
240,Good,18,2515,3,4,43,1,1,0,1,0,0,0,0,1,0,0
241,Good,21,2745,3,2,32,2,1,0,1,0,1,0,0,0,0,1
242,Good,6,672,1,4,54,1,1,0,1,0,0,0,0,1,0,0
243,Bad,36,3804,4,1,42,1,1,0,1,0,1,0,0,0,0,0
244,Bad,24,1344,4,2,37,2,2,1,1,0,0,1,0,0,0,1
245,Good,6,1543,4,2,33,1,1,1,1,0,0,0,0,1,0,0
246,Good,30,4811,2,4,24,1,1,1,1,0,0,0,0,1,0,0
247,Bad,8,1237,3,4,24,1,1,1,1,0,1,0,0,1,0,0
248,Good,9,276,4,4,22,1,1,1,1,0,1,0,0,1,0,0
249,Good,24,5511,4,1,25,1,1,1,1,0,0,0,0,1,0,0
250,Good,24,3749,2,4,26,1,1,1,1,0,0,1,0,1,0,0
251,Bad,12,685,2,3,25,1,1,1,1,0,1,0,0,1,0,0
252,Good,4,1494,1,2,29,1,2,1,0,0,0,1,0,1,0,0
253,Good,12,708,2,3,38,1,2,1,1,1,0,0,0,1,0,0
254,Good,24,4351,1,4,48,1,1,0,1,0,1,0,0,1,0,0
255,Good,12,701,4,2,32,2,1,1,1,0,0,0,0,0,0,1
256,Bad,24,1938,4,3,32,1,1,1,1,1,0,0,0,1,0,0
257,Good,24,2910,2,1,34,1,1,0,1,1,0,0,0,1,0,0
258,Good,18,1028,4,3,36,2,1,1,1,0,0,0,0,0,0,1
259,Good,8,3398,1,4,39,2,1,1,0,1,0,0,0,0,0,1
260,Good,12,5801,2,4,49,1,1,0,1,0,0,0,0,0,0,1
261,Good,24,1525,4,3,34,1,2,0,1,0,0,0,0,1,0,0
262,Good,36,4473,4,2,31,1,1,1,1,0,0,1,0,1,0,0
263,Good,6,1068,4,4,28,1,2,1,1,0,1,0,0,1,0,0
264,Bad,60,7408,4,2,24,1,1,1,1,0,1,0,0,1,0,0
265,Bad,48,11590,2,4,24,2,1,1,1,0,0,0,0,0,0,1
266,Bad,24,4110,3,4,23,2,2,1,1,1,0,0,0,0,0,0
267,Bad,6,3384,1,4,44,1,1,0,1,1,0,0,0,0,0,1
268,Good,13,2101,2,4,23,1,1,1,1,0,1,0,0,1,0,0
269,Bad,15,1275,4,2,24,1,1,1,1,1,0,0,0,1,0,0
270,Good,24,4169,4,4,28,1,1,1,1,1,0,0,0,1,0,0
271,Good,10,1521,4,2,31,1,1,1,1,0,1,0,0,1,0,0
272,Good,24,5743,2,4,24,2,1,0,1,0,1,0,0,0,0,1
273,Good,21,3599,1,4,26,1,1,1,1,1,0,0,0,1,0,0
274,Good,18,3213,1,3,25,1,1,1,1,0,1,0,0,1,0,0
275,Good,18,4439,1,1,33,1,1,0,1,0,1,0,0,1,0,0
276,Good,10,3949,1,1,37,1,2,1,1,0,0,1,0,1,0,0
277,Good,15,1459,4,2,43,1,1,1,1,0,0,0,0,0,0,1
278,Good,13,882,4,4,23,2,1,1,1,0,1,0,0,0,0,1
279,Good,24,3758,1,4,23,1,1,1,1,0,1,0,0,1,0,0
280,Good,6,1743,1,2,34,2,1,1,1,0,0,0,0,0,1,0
281,Good,9,1236,1,4,23,1,1,0,1,0,0,0,0,1,0,0
282,Bad,9,959,1,2,29,1,1,1,0,0,1,0,0,1,0,0
283,Good,18,3229,2,4,38,1,1,0,1,0,0,0,0,0,0,1
284,Bad,12,6199,4,2,28,2,1,0,1,1,0,0,0,0,0,0
285,Good,10,727,4,4,46,1,1,0,1,0,0,0,0,1,0,0
286,Bad,24,1246,4,2,23,1,1,1,1,0,1,0,0,1,0,0
287,Good,12,2331,1,4,49,1,1,0,1,0,0,0,0,0,0,1
288,Bad,36,4463,4,2,26,2,1,0,1,0,0,0,0,0,1,0
289,Bad,30,2406,4,4,23,1,1,1,1,1,0,0,0,1,0,0
290,Good,18,1239,4,4,61,1,1,1,1,0,1,0,0,1,0,0
291,Good,12,3399,2,3,37,1,1,1,1,0,0,1,0,1,0,0
292,Good,12,2247,2,2,36,2,1,0,1,0,0,1,0,0,1,0
293,Good,6,1766,1,2,21,1,1,1,1,0,0,0,0,1,0,0
294,Good,12,1542,2,4,36,1,1,0,1,0,0,0,0,1,0,0
295,Bad,36,3446,4,2,42,1,2,1,1,1,0,0,0,1,0,0
296,Good,18,3001,2,4,40,1,1,1,1,0,1,0,0,1,0,0
297,Good,36,3079,4,4,36,1,1,1,1,0,0,0,0,1,0,0
298,Good,18,6070,3,4,33,2,1,0,1,0,0,0,0,0,0,1
299,Good,10,2146,1,3,23,2,1,1,1,0,0,0,0,0,0,1
300,Good,60,13756,2,4,63,1,1,0,1,0,0,0,0,0,0,1
301,Bad,60,14782,3,4,60,2,1,0,1,0,1,0,1,0,0,0
302,Bad,48,7685,2,4,37,1,1,1,1,1,0,0,1,0,0,0
303,Good,18,2320,2,3,34,2,1,1,1,0,0,0,0,0,1,0
304,Good,7,846,3,4,36,1,1,1,1,0,0,0,0,0,1,0
305,Bad,36,14318,4,2,57,1,1,0,1,0,1,0,0,1,0,0
306,Good,6,362,4,4,52,2,1,1,1,0,0,0,0,0,0,1
307,Good,20,2212,4,4,39,1,1,0,1,1,0,0,0,1,0,0
308,Bad,18,12976,3,4,38,1,1,0,1,0,1,0,0,1,0,0
309,Good,22,1283,4,4,25,1,1,1,1,0,0,0,0,1,0,0
310,Good,12,1330,4,1,26,1,1,1,1,0,0,1,0,1,0,0
311,Good,30,4272,2,2,26,2,1,1,1,0,0,0,0,0,1,0
312,Good,18,2238,2,1,25,2,1,1,1,0,0,0,0,0,0,1
313,Good,9,1449,3,2,27,2,1,1,1,0,0,0,0,1,0,0
314,Good,18,1820,2,2,30,1,1,0,1,0,0,0,0,1,0,0
315,Good,12,983,1,4,19,1,1,1,1,0,1,0,0,1,0,0
316,Good,36,3249,2,4,39,1,2,0,1,1,0,0,0,1,0,0
317,Good,6,1957,1,4,31,1,1,1,1,1,0,0,0,0,0,1
318,Good,9,2406,2,3,31,1,1,1,1,0,0,0,0,0,0,1
319,Good,39,11760,2,3,32,1,1,0,1,0,1,0,0,0,1,0
320,Good,12,2578,3,4,55,1,1,1,1,1,0,0,0,1,0,0
321,Good,36,2348,3,2,46,2,1,0,1,1,0,0,0,0,0,1
322,Bad,12,1223,1,1,46,2,1,1,1,0,1,0,0,1,0,0
323,Good,24,1516,4,1,43,2,1,1,1,0,0,0,0,0,0,1
324,Good,18,1473,3,4,39,1,1,0,1,0,0,0,0,1,0,0
325,Good,18,1887,4,4,28,2,1,1,1,0,1,0,0,0,0,1
326,Bad,24,8648,2,2,27,2,1,0,1,0,0,0,0,0,1,0
327,Good,18,2899,4,4,43,1,2,1,1,0,1,0,0,0,1,0
328,Good,15,1053,4,2,27,1,1,1,0,1,0,0,0,1,0,0
329,Good,24,3235,3,2,26,1,1,0,1,0,0,0,0,1,0,0
330,Bad,12,939,4,2,28,3,1,0,1,0,0,1,0,0,0,1
331,Good,33,7253,3,2,35,2,1,0,1,0,0,0,0,0,0,1
332,Bad,12,2292,4,2,42,2,1,0,1,0,0,0,0,0,0,1
333,Bad,24,1381,4,2,35,1,1,1,1,1,0,0,0,1,0,0
334,Good,36,5842,2,2,35,2,2,0,1,0,0,0,0,0,0,1
335,Bad,12,2579,4,1,33,1,2,1,1,1,0,0,0,1,0,0
336,Good,21,2782,1,2,31,1,1,1,1,0,0,0,0,1,0,0
337,Bad,18,1042,4,2,33,1,1,1,1,0,1,0,0,1,0,0
338,Good,15,3186,2,3,20,1,1,1,1,0,0,0,0,1,0,0
339,Good,12,2028,4,2,30,1,1,1,1,0,1,0,0,1,0,0
340,Good,12,958,2,3,47,2,2,1,1,0,1,0,0,0,0,1
341,Good,21,1591,4,3,34,2,1,1,1,0,0,0,0,0,1,0
342,Bad,12,2762,1,2,25,1,1,0,1,0,1,0,0,1,0,0
343,Good,28,2743,4,2,29,2,1,1,1,0,0,0,0,0,0,1
344,Good,18,1149,4,3,46,2,1,1,1,0,0,0,0,0,0,1
345,Good,9,1313,1,4,20,1,1,1,1,0,0,0,0,1,0,0
346,Bad,18,1190,2,4,55,3,2,1,1,1,0,0,0,0,0,1
347,Good,5,3448,1,4,74,1,1,1,1,0,0,0,0,1,0,0
348,Good,6,1872,4,4,36,3,1,0,1,1,0,0,0,0,0,1
349,Good,24,2058,4,2,33,2,1,0,1,0,0,0,0,0,0,1
350,Good,9,2136,3,2,25,1,1,1,1,1,0,0,0,1,0,0
351,Bad,12,1484,2,1,25,1,1,0,1,0,1,0,0,1,0,0
352,Good,24,1287,4,4,37,2,1,0,1,0,0,0,0,0,0,1
353,Bad,12,609,4,1,26,1,1,1,1,0,0,1,1,0,0,0
354,Good,12,1884,4,4,39,1,1,0,1,0,0,0,0,1,0,0
355,Good,12,1620,2,3,30,1,1,1,1,1,0,0,0,1,0,0
356,Good,20,2629,2,3,29,2,1,0,1,0,1,0,0,0,1,0
